%psbl,Points,HF,Time,A,B,C,D,M,NPM,NS,Proc
100.000000,187.000000,6.531600,28.630000,35.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
97.130000,181.000000,6.344200,28.530000,32.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.130000,177.000000,6.278800,28.190000,30.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.950000,185.000000,6.201800,29.830000,34.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.220000,189.000000,6.154300,30.710000,36.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.530000,183.000000,6.043600,30.280000,33.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.380000,183.000000,6.033600,30.330000,33.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.280000,171.000000,6.027500,28.370000,29.000000,0.000000,8.000000,2.000000,0.000000,0.000000,0.000000,0.000000
91.440000,187.000000,5.972500,31.310000,35.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91.130000,181.000000,5.952000,30.410000,32.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.440000,183.000000,5.907000,30.980000,34.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000
90.340000,180.000000,5.900700,28.810000,33.000000,0.000000,5.000000,0.000000,1.000000,0.000000,0.000000,0.000000
90.200000,189.000000,5.891500,32.080000,37.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
90.150000,175.000000,5.888300,29.720000,29.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
88.230000,172.000000,5.763100,28.110000,31.000000,0.000000,5.000000,2.000000,1.000000,0.000000,0.000000,0.000000
88.080000,183.000000,5.752900,31.810000,33.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
87.840000,165.000000,5.737100,28.760000,27.000000,0.000000,9.000000,3.000000,0.000000,0.000000,0.000000,0.000000
87.420000,181.000000,5.709800,31.700000,32.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
87.140000,179.000000,5.691600,31.450000,32.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
87.080000,177.000000,5.687700,31.120000,30.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86.640000,179.000000,5.659200,31.630000,31.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86.080000,187.000000,5.622400,33.260000,35.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85.270000,175.000000,5.569700,31.420000,29.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
84.670000,181.000000,5.530100,32.730000,33.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
83.540000,177.000000,5.456200,32.440000,31.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
82.960000,189.000000,5.418600,34.880000,36.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.510000,172.000000,5.389200,30.060000,29.000000,0.000000,9.000000,0.000000,1.000000,0.000000,0.000000,0.000000
80.970000,187.000000,5.288500,35.360000,36.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000
78.880000,181.000000,5.152300,35.130000,33.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
78.630000,191.000000,5.135800,37.190000,37.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.160000,177.000000,5.105300,34.670000,31.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
77.600000,181.000000,5.068600,35.710000,32.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.980000,181.000000,4.963000,36.470000,33.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
75.830000,183.000000,4.952600,36.950000,34.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000
73.860000,187.000000,4.824200,36.690000,35.000000,0.000000,4.000000,0.000000,0.000000,0.000000,1.000000,0.000000
73.270000,155.000000,4.785400,32.390000,22.000000,0.000000,14.000000,3.000000,0.000000,0.000000,0.000000,0.000000
71.810000,181.000000,4.690100,36.460000,33.000000,0.000000,5.000000,1.000000,0.000000,0.000000,1.000000,0.000000
71.520000,187.000000,4.671500,40.030000,36.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000
70.500000,163.000000,4.604500,35.400000,25.000000,0.000000,12.000000,2.000000,0.000000,0.000000,0.000000,0.000000
70.210000,181.000000,4.585800,39.470000,32.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.100000,175.000000,4.578800,38.220000,30.000000,0.000000,8.000000,1.000000,0.000000,0.000000,0.000000,0.000000
70.050000,165.000000,4.575600,31.690000,29.000000,0.000000,6.000000,2.000000,2.000000,0.000000,0.000000,0.000000
69.260000,189.000000,4.523700,41.780000,36.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68.100000,191.000000,4.448100,42.940000,37.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
67.600000,177.000000,4.415100,40.090000,32.000000,0.000000,5.000000,2.000000,0.000000,0.000000,0.000000,0.000000
65.460000,157.000000,4.275600,36.720000,23.000000,0.000000,13.000000,3.000000,0.000000,0.000000,0.000000,0.000000
65.000000,181.000000,4.245800,42.630000,32.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64.990000,165.000000,4.244900,38.870000,25.000000,0.000000,13.000000,1.000000,0.000000,0.000000,0.000000,0.000000
64.650000,169.000000,4.222900,40.020000,29.000000,0.000000,7.000000,3.000000,0.000000,0.000000,0.000000,0.000000
64.520000,177.000000,4.214300,42.000000,30.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000
63.610000,191.000000,4.154900,45.970000,37.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62.630000,176.000000,4.090700,40.580000,32.000000,0.000000,5.000000,1.000000,1.000000,0.000000,0.000000,0.000000
62.610000,165.000000,4.089200,40.350000,26.000000,0.000000,11.000000,2.000000,0.000000,0.000000,0.000000,0.000000
62.480000,163.000000,4.081100,39.940000,26.000000,0.000000,10.000000,3.000000,0.000000,0.000000,0.000000,0.000000
61.750000,183.000000,4.033500,45.370000,34.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000
61.710000,189.000000,4.030700,46.890000,36.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
61.310000,183.000000,4.004400,45.700000,34.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000
60.220000,181.000000,3.933100,46.020000,33.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
59.240000,173.000000,3.869400,44.710000,28.000000,0.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000
58.510000,181.000000,3.821800,47.360000,32.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
56.740000,170.000000,3.706300,43.170000,31.000000,0.000000,4.000000,3.000000,1.000000,0.000000,0.000000,0.000000
56.480000,161.000000,3.689100,35.510000,27.000000,0.000000,8.000000,2.000000,2.000000,0.000000,0.000000,1.000000
56.130000,168.000000,3.666300,37.640000,30.000000,0.000000,6.000000,0.000000,3.000000,0.000000,0.000000,0.000000
55.290000,189.000000,3.611000,52.340000,36.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
54.030000,185.000000,3.529200,52.420000,34.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
53.470000,159.000000,3.492500,39.800000,25.000000,0.000000,11.000000,1.000000,2.000000,0.000000,0.000000,0.000000
53.190000,193.000000,3.474300,55.550000,38.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
51.560000,162.000000,3.368000,45.130000,24.000000,0.000000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000
48.150000,164.000000,3.144800,45.790000,27.000000,0.000000,9.000000,2.000000,1.000000,0.000000,0.000000,1.000000
47.980000,185.000000,3.134000,59.030000,34.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
47.590000,155.000000,3.108300,33.780000,25.000000,0.000000,10.000000,0.000000,4.000000,0.000000,0.000000,1.000000
47.190000,178.000000,3.082000,54.510000,33.000000,0.000000,4.000000,1.000000,1.000000,0.000000,0.000000,0.000000
45.360000,189.000000,2.962800,63.790000,36.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38.990000,155.000000,2.546900,49.080000,23.000000,0.000000,13.000000,1.000000,2.000000,0.000000,0.000000,1.000000
30.940000,160.000000,2.020700,74.230000,26.000000,0.000000,9.000000,3.000000,1.000000,0.000000,0.000000,0.000000
29.330000,145.000000,1.915700,44.370000,21.000000,0.000000,13.000000,1.000000,4.000000,0.000000,0.000000,2.000000
