%psbl,MaxPoints,Points,HF,Time,A,B,C,D,M,NPM,NS,Proc
100.000000,110.000000,98.000000,9.505300,10.310000,16.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.210000,110.000000,102.000000,8.955200,11.390000,18.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.160000,110.000000,98.000000,8.949800,10.950000,16.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.090000,110.000000,96.000000,8.563800,11.210000,15.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89.540000,110.000000,104.000000,8.510600,12.220000,19.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
84.430000,110.000000,102.000000,8.025200,12.710000,18.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
84.100000,110.000000,102.000000,7.993700,12.760000,18.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83.970000,110.000000,104.000000,7.981600,13.030000,19.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83.960000,110.000000,98.000000,7.980500,12.280000,16.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83.680000,110.000000,110.000000,7.953700,13.830000,22.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83.660000,110.000000,106.000000,7.952000,13.330000,20.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.480000,110.000000,106.000000,7.840200,13.520000,20.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.580000,110.000000,106.000000,7.754200,13.670000,20.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.420000,110.000000,102.000000,7.739000,13.180000,18.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.990000,110.000000,102.000000,7.698100,13.250000,18.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.490000,110.000000,100.000000,7.651100,13.070000,18.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
79.400000,110.000000,100.000000,7.547200,13.250000,18.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
79.060000,110.000000,104.000000,7.514500,13.840000,19.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.690000,110.000000,100.000000,7.479400,13.370000,17.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.690000,110.000000,100.000000,7.479400,13.370000,17.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.230000,110.000000,96.000000,7.436100,12.910000,15.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.230000,110.000000,96.000000,7.436100,12.910000,15.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.170000,110.000000,98.000000,7.429900,13.190000,16.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
77.760000,110.000000,104.000000,7.391600,14.070000,19.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.510000,110.000000,90.000000,7.177000,12.540000,13.000000,0.000000,8.000000,1.000000,0.000000,0.000000,0.000000,0.000000
75.260000,110.000000,104.000000,7.153700,13.140000,19.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.000000,0.000000
75.090000,110.000000,92.000000,7.137300,12.890000,14.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
75.020000,110.000000,86.000000,7.131000,12.060000,13.000000,0.000000,6.000000,3.000000,0.000000,0.000000,0.000000,0.000000
74.690000,110.000000,94.000000,7.099700,13.240000,15.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
74.580000,110.000000,94.000000,7.089000,13.260000,15.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
72.150000,110.000000,98.000000,6.857900,14.290000,16.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72.010000,110.000000,102.000000,6.845200,13.440000,18.000000,0.000000,4.000000,0.000000,0.000000,0.000000,1.000000,0.000000
71.300000,110.000000,98.000000,6.777300,14.460000,17.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000
70.750000,110.000000,100.000000,6.724900,14.870000,17.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.540000,110.000000,92.000000,6.705500,13.720000,14.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
69.960000,110.000000,104.000000,6.649600,15.640000,19.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
69.790000,110.000000,94.000000,6.633700,14.170000,14.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
69.450000,110.000000,105.000000,6.601800,14.390000,21.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
69.210000,110.000000,100.000000,6.578900,15.200000,17.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
69.200000,110.000000,104.000000,6.578100,15.810000,19.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68.900000,110.000000,108.000000,6.549400,16.490000,21.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68.470000,110.000000,104.000000,6.508100,15.980000,19.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68.280000,110.000000,108.000000,6.490400,16.640000,21.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68.250000,110.000000,94.000000,6.487200,14.490000,15.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
67.510000,110.000000,96.000000,6.417100,14.960000,15.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
67.290000,110.000000,104.000000,6.396100,16.260000,19.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
67.100000,110.000000,90.000000,6.378500,14.110000,12.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
67.100000,110.000000,100.000000,6.377600,15.680000,17.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66.530000,110.000000,96.000000,6.324100,15.180000,17.000000,0.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000
66.210000,110.000000,100.000000,6.293300,15.890000,18.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
66.180000,110.000000,96.000000,6.291000,15.260000,15.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66.120000,110.000000,90.000000,6.284900,14.320000,13.000000,0.000000,8.000000,1.000000,0.000000,0.000000,0.000000,0.000000
65.800000,110.000000,98.000000,6.254400,14.070000,16.000000,0.000000,6.000000,0.000000,0.000000,0.000000,1.000000,0.000000
65.800000,110.000000,88.000000,6.254400,14.070000,14.000000,0.000000,5.000000,3.000000,0.000000,0.000000,0.000000,0.000000
65.480000,110.000000,104.000000,6.223800,16.710000,19.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65.190000,110.000000,94.000000,6.196400,15.170000,15.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
64.470000,110.000000,104.000000,6.128500,16.970000,19.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64.270000,110.000000,100.000000,6.108700,16.370000,18.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
64.230000,110.000000,89.000000,6.105100,12.940000,13.000000,0.000000,8.000000,0.000000,1.000000,0.000000,0.000000,0.000000
63.660000,110.000000,84.000000,6.050700,12.230000,11.000000,0.000000,9.000000,2.000000,0.000000,0.000000,1.000000,0.000000
63.490000,110.000000,98.000000,6.034500,16.240000,17.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000
63.430000,110.000000,104.000000,6.029000,17.250000,19.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62.640000,110.000000,102.000000,5.954500,17.130000,18.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62.520000,110.000000,110.000000,5.942700,18.510000,22.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62.230000,110.000000,96.000000,5.915000,16.230000,16.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
61.810000,110.000000,92.000000,5.874800,15.660000,14.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
61.480000,110.000000,106.000000,5.843400,18.140000,21.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
60.780000,110.000000,94.000000,5.777500,16.270000,14.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60.690000,110.000000,94.000000,5.769200,14.560000,15.000000,0.000000,6.000000,1.000000,0.000000,0.000000,1.000000,0.000000
60.530000,110.000000,92.000000,5.753600,15.990000,15.000000,0.000000,5.000000,2.000000,0.000000,0.000000,0.000000,0.000000
60.150000,110.000000,110.000000,5.717300,19.240000,22.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60.040000,110.000000,94.000000,5.707300,16.470000,15.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
59.950000,110.000000,104.000000,5.698600,18.250000,19.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
59.900000,110.000000,96.000000,5.694000,16.860000,15.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
59.660000,110.000000,96.000000,5.670400,16.930000,16.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
59.190000,110.000000,102.000000,5.626000,18.130000,18.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
58.480000,110.000000,100.000000,5.558600,17.990000,18.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
58.410000,110.000000,94.000000,5.552300,16.930000,16.000000,0.000000,4.000000,2.000000,0.000000,0.000000,0.000000,0.000000
58.010000,110.000000,110.000000,5.513800,19.950000,22.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
56.970000,110.000000,90.000000,5.415200,16.620000,13.000000,0.000000,8.000000,1.000000,0.000000,0.000000,0.000000,0.000000
55.690000,110.000000,100.000000,5.293800,18.890000,17.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
55.330000,110.000000,80.000000,5.259700,15.210000,12.000000,0.000000,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000
54.760000,110.000000,104.000000,5.204900,18.060000,19.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.000000,0.000000
54.740000,110.000000,89.000000,5.203600,13.260000,14.000000,0.000000,6.000000,1.000000,1.000000,0.000000,1.000000,0.000000
54.180000,110.000000,98.000000,5.149800,19.030000,16.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
54.110000,110.000000,102.000000,5.143700,19.830000,18.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
53.980000,110.000000,92.000000,5.131100,17.930000,14.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
