%psbl,Points,HF,Time,A,B,C,D,M,NPM,NS,Proc
100.000000,140.000000,7.621100,18.370000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
98.450000,140.000000,7.502700,18.660000,26.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
97.090000,136.000000,7.399300,18.380000,23.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95.050000,138.000000,7.244100,19.050000,24.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.220000,144.000000,7.104100,20.270000,27.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.370000,146.000000,7.039500,20.740000,28.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.250000,135.000000,7.030400,17.780000,24.000000,0.000000,5.000000,0.000000,1.000000,0.000000,0.000000,0.000000
92.250000,138.000000,7.030100,19.630000,24.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91.920000,138.000000,7.005100,19.700000,24.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91.290000,142.000000,6.957400,20.410000,26.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.680000,136.000000,6.910600,19.680000,23.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89.930000,142.000000,6.853300,20.720000,26.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89.550000,144.000000,6.824600,21.100000,27.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89.070000,137.000000,6.787800,18.710000,25.000000,0.000000,4.000000,0.000000,1.000000,0.000000,0.000000,0.000000
88.350000,148.000000,6.733400,21.980000,29.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
88.270000,134.000000,6.726900,19.920000,22.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
88.260000,142.000000,6.726700,21.110000,26.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
87.920000,132.000000,6.700500,19.700000,21.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000
87.480000,140.000000,6.666700,21.000000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86.060000,142.000000,6.558900,21.650000,26.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85.920000,136.000000,6.547900,20.770000,23.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85.880000,136.000000,6.544800,20.780000,23.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85.500000,144.000000,6.515800,22.100000,27.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85.290000,138.000000,6.500200,21.230000,24.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
84.990000,146.000000,6.477400,22.540000,28.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
84.460000,138.000000,6.436600,21.440000,24.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
84.130000,129.000000,6.411600,18.560000,21.000000,0.000000,8.000000,0.000000,1.000000,0.000000,0.000000,0.000000
84.090000,134.000000,6.408400,20.910000,22.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
84.070000,148.000000,6.406900,23.100000,29.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83.500000,140.000000,6.363600,22.000000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83.250000,138.000000,6.344800,21.750000,24.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.700000,134.000000,6.302900,21.260000,22.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.460000,135.000000,6.284600,19.890000,24.000000,0.000000,5.000000,0.000000,1.000000,0.000000,0.000000,0.000000
82.430000,134.000000,6.282200,21.330000,22.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.230000,138.000000,6.267000,22.020000,24.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.930000,134.000000,6.244200,21.460000,22.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.590000,134.000000,6.218100,21.550000,22.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.530000,138.000000,6.213400,22.210000,24.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.500000,140.000000,6.211200,22.540000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.460000,138.000000,6.207800,22.230000,24.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.440000,144.000000,6.206900,23.200000,27.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.200000,132.000000,6.188500,21.330000,23.000000,0.000000,5.000000,2.000000,0.000000,0.000000,0.000000,0.000000
80.600000,136.000000,6.142700,22.140000,23.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.560000,142.000000,6.139200,23.130000,26.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.420000,136.000000,6.128900,22.190000,23.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.310000,136.000000,6.120600,22.220000,23.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.200000,144.000000,6.112100,23.560000,27.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.020000,146.000000,6.098600,23.940000,28.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
79.930000,132.000000,6.091400,21.670000,21.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000
79.600000,128.000000,6.066400,21.100000,19.000000,0.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000
79.560000,144.000000,6.063200,23.750000,27.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
79.420000,138.000000,6.052600,22.800000,24.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
79.290000,142.000000,6.042600,23.500000,26.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.550000,142.000000,5.986500,23.720000,26.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.510000,136.000000,5.983300,22.730000,24.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
78.270000,133.000000,5.965100,20.620000,23.000000,0.000000,6.000000,0.000000,1.000000,0.000000,0.000000,0.000000
78.200000,140.000000,5.960000,23.490000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.130000,146.000000,5.954300,24.520000,28.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
77.640000,130.000000,5.917200,21.970000,21.000000,0.000000,8.000000,1.000000,0.000000,0.000000,0.000000,0.000000
77.400000,146.000000,5.899000,24.750000,28.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
77.190000,136.000000,5.882400,23.120000,23.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
77.080000,134.000000,5.874600,22.810000,22.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76.680000,134.000000,5.843900,22.930000,23.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
76.560000,136.000000,5.834400,23.310000,23.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76.290000,146.000000,5.814400,25.110000,28.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76.280000,144.000000,5.813500,24.770000,27.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76.120000,130.000000,5.801000,22.410000,20.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.940000,136.000000,5.787200,23.500000,23.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.900000,142.000000,5.784100,24.550000,26.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.870000,126.000000,5.782500,21.790000,18.000000,0.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.690000,134.000000,5.768400,23.230000,22.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.250000,126.000000,5.735100,21.970000,18.000000,0.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.270000,132.000000,5.660400,23.320000,21.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.040000,140.000000,5.642900,24.810000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.920000,124.000000,5.633800,22.010000,17.000000,0.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.480000,134.000000,5.599700,23.930000,22.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.400000,123.000000,5.594100,20.200000,19.000000,0.000000,9.000000,1.000000,1.000000,0.000000,0.000000,0.000000
72.830000,122.000000,5.550500,21.980000,19.000000,0.000000,8.000000,3.000000,0.000000,0.000000,0.000000,0.000000
72.250000,135.000000,5.506600,22.700000,24.000000,0.000000,5.000000,0.000000,1.000000,0.000000,0.000000,0.000000
72.160000,129.000000,5.499100,21.640000,21.000000,0.000000,8.000000,0.000000,1.000000,0.000000,0.000000,0.000000
72.030000,138.000000,5.489300,25.140000,24.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71.090000,138.000000,5.418100,25.470000,24.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71.030000,148.000000,5.413300,27.340000,29.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.870000,140.000000,5.401200,25.920000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.810000,134.000000,5.396700,24.830000,22.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.730000,138.000000,5.390600,25.600000,24.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.380000,132.000000,5.363700,24.610000,21.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000
69.910000,138.000000,5.328200,25.900000,24.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
69.830000,134.000000,5.322100,21.420000,25.000000,0.000000,3.000000,0.000000,2.000000,0.000000,0.000000,0.000000
69.420000,142.000000,5.290600,26.840000,26.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
69.090000,129.000000,5.265500,22.600000,21.000000,0.000000,8.000000,0.000000,1.000000,0.000000,0.000000,0.000000
68.890000,130.000000,5.250400,24.760000,20.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68.290000,144.000000,5.204200,27.670000,27.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
67.690000,117.000000,5.159100,20.740000,17.000000,0.000000,10.000000,2.000000,1.000000,0.000000,0.000000,0.000000
67.620000,138.000000,5.153100,26.780000,24.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
67.550000,144.000000,5.148400,27.970000,27.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
67.360000,142.000000,5.133800,27.660000,26.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
67.210000,138.000000,5.122500,26.940000,24.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
67.000000,130.000000,5.106000,25.460000,20.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65.770000,144.000000,5.012200,28.730000,27.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65.490000,140.000000,4.991100,28.050000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64.620000,138.000000,4.925100,28.020000,24.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64.510000,125.000000,4.916600,23.390000,19.000000,0.000000,10.000000,0.000000,1.000000,0.000000,0.000000,0.000000
64.270000,132.000000,4.898000,26.950000,21.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000
63.490000,110.000000,4.838700,18.600000,13.000000,0.000000,15.000000,0.000000,2.000000,0.000000,0.000000,0.000000
63.380000,132.000000,4.829900,27.330000,21.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62.730000,132.000000,4.780900,27.610000,22.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
62.420000,142.000000,4.757100,29.850000,26.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62.230000,123.000000,4.742900,17.500000,21.000000,0.000000,6.000000,0.000000,3.000000,0.000000,0.000000,1.000000
62.200000,135.000000,4.740200,26.370000,24.000000,0.000000,5.000000,0.000000,1.000000,0.000000,0.000000,0.000000
61.600000,140.000000,4.694800,29.820000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
61.470000,136.000000,4.684800,29.030000,24.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
61.240000,138.000000,4.666900,29.570000,24.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60.530000,124.000000,4.613100,26.880000,17.000000,0.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000
59.920000,138.000000,4.566500,30.220000,24.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
59.850000,132.000000,4.561200,28.940000,21.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000
