%psbl,Points,HF,Time,A,B,C,D,M,NPM,NS,Proc
100.000000,110.000000,9.075900,12.120000,20.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
89.980000,114.000000,8.166200,13.960000,21.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
88.550000,104.000000,8.037100,12.940000,18.000000,0.000000,4.000000,2.000000,0.000000,0.000000,0.000000,0.000000
88.350000,104.000000,8.018500,12.970000,17.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
88.150000,112.000000,8.000000,14.000000,20.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
87.880000,106.000000,7.975900,13.290000,17.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
87.200000,118.000000,7.914200,14.910000,23.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86.280000,100.000000,7.830900,12.770000,14.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85.130000,104.000000,7.726600,13.460000,16.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
84.870000,110.000000,7.703100,14.280000,21.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000
84.580000,112.000000,7.676500,14.590000,20.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83.210000,112.000000,7.552300,14.830000,20.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.480000,106.000000,7.485900,14.160000,18.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
82.430000,112.000000,7.481600,14.970000,20.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.710000,106.000000,7.325500,14.470000,18.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
80.430000,100.000000,7.299300,13.700000,17.000000,0.000000,4.000000,3.000000,0.000000,0.000000,0.000000,0.000000
78.460000,114.000000,7.120500,16.010000,21.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.300000,112.000000,7.106600,15.760000,20.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76.840000,106.000000,6.973700,15.200000,19.000000,0.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000
75.490000,104.000000,6.851100,15.180000,17.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
75.260000,114.000000,6.830400,16.690000,21.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.620000,98.000000,6.772600,14.470000,15.000000,0.000000,7.000000,2.000000,0.000000,0.000000,0.000000,0.000000
73.450000,97.000000,6.666700,13.050000,16.000000,0.000000,5.000000,2.000000,1.000000,0.000000,0.000000,0.000000
73.100000,110.000000,6.634500,16.580000,20.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
72.660000,110.000000,6.594700,16.680000,19.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72.660000,110.000000,6.594700,16.680000,20.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
72.380000,112.000000,6.568900,17.050000,20.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72.240000,101.000000,6.556200,13.880000,16.000000,0.000000,7.000000,0.000000,1.000000,0.000000,0.000000,0.000000
71.980000,104.000000,6.532700,15.920000,17.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
71.670000,118.000000,6.505000,18.140000,23.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71.400000,102.000000,6.480300,15.740000,16.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
71.370000,114.000000,6.477300,17.600000,21.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71.280000,94.000000,6.469400,14.530000,15.000000,0.000000,5.000000,4.000000,0.000000,0.000000,0.000000,0.000000
71.210000,114.000000,6.462600,17.640000,21.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.960000,112.000000,6.440500,17.390000,20.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.550000,102.000000,6.403000,15.930000,16.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
