%psbl,Points,HF,Time,A,B,C,D,M,NPM,NS,Proc
100.000000,130.000000,12.820500,10.140000,23.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
97.400000,124.000000,12.487400,9.930000,20.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95.950000,124.000000,12.301600,10.080000,21.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
95.790000,126.000000,12.280700,10.260000,22.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
93.750000,128.000000,12.018800,10.650000,22.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.510000,126.000000,11.988600,10.510000,21.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91.850000,122.000000,11.776100,10.360000,20.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
91.440000,132.000000,11.722900,11.260000,24.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89.740000,120.000000,11.505300,10.430000,20.000000,0.000000,6.000000,2.000000,0.000000,0.000000,0.000000,0.000000
88.670000,128.000000,11.367700,11.260000,23.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000
88.360000,122.000000,11.327800,10.770000,20.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
87.660000,128.000000,11.237900,11.390000,22.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
87.570000,130.000000,11.226300,11.580000,24.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
86.510000,126.000000,11.091500,11.360000,22.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
86.050000,124.000000,11.032000,11.240000,20.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86.010000,130.000000,11.026300,11.790000,23.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85.830000,126.000000,11.004400,11.450000,22.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
83.930000,126.000000,10.760000,11.710000,22.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
82.900000,132.000000,10.628000,12.420000,24.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.770000,118.000000,10.611500,11.120000,18.000000,0.000000,9.000000,1.000000,0.000000,0.000000,0.000000,0.000000
82.630000,117.000000,10.594100,10.100000,20.000000,0.000000,5.000000,2.000000,1.000000,0.000000,0.000000,0.000000
82.550000,118.000000,10.583000,11.150000,17.000000,0.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.390000,124.000000,10.562200,11.740000,20.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.320000,122.000000,10.553600,11.560000,20.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
82.110000,118.000000,10.526300,11.210000,19.000000,0.000000,7.000000,2.000000,0.000000,0.000000,0.000000,0.000000
81.900000,128.000000,10.500400,12.190000,22.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.900000,124.000000,10.499600,11.810000,22.000000,0.000000,4.000000,2.000000,0.000000,0.000000,0.000000,0.000000
81.700000,126.000000,10.473800,12.030000,23.000000,0.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000
81.560000,126.000000,10.456400,12.050000,24.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000
81.480000,124.000000,10.446500,11.870000,21.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
