%psbl,Points,HF,Time,A,B,C,D,M,NPM,NS,Proc
100.000000,119.000000,7.100200,16.760000,22.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
97.050000,117.000000,6.890500,16.980000,21.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.960000,113.000000,6.742200,16.760000,19.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.720000,109.000000,6.654500,16.380000,18.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
90.990000,113.000000,6.460800,17.490000,19.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.330000,115.000000,6.413800,17.930000,20.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89.710000,113.000000,6.369800,17.740000,20.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000
87.880000,111.000000,6.239500,17.790000,18.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
87.130000,115.000000,6.186100,18.590000,20.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86.430000,115.000000,6.136600,18.740000,21.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
85.770000,107.000000,6.089900,17.570000,16.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85.330000,105.000000,6.058900,17.330000,15.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
84.980000,117.000000,6.034000,19.390000,21.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83.720000,107.000000,5.944400,18.000000,17.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
82.110000,105.000000,5.830100,18.010000,16.000000,0.000000,8.000000,1.000000,0.000000,0.000000,0.000000,0.000000
81.080000,119.000000,5.757100,20.670000,22.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.700000,115.000000,5.729900,20.070000,20.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
79.920000,101.000000,5.674200,17.800000,15.000000,0.000000,8.000000,2.000000,0.000000,0.000000,0.000000,0.000000
78.810000,110.000000,5.596000,17.870000,19.000000,0.000000,5.000000,0.000000,1.000000,0.000000,0.000000,0.000000
77.850000,119.000000,5.527200,21.530000,22.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
77.100000,101.000000,5.474300,18.450000,14.000000,0.000000,10.000000,1.000000,0.000000,0.000000,0.000000,0.000000
77.070000,113.000000,5.472200,20.650000,19.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76.820000,111.000000,5.454500,20.350000,18.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.900000,117.000000,5.389200,21.710000,21.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.770000,111.000000,5.308500,20.910000,19.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
74.600000,110.000000,5.296600,18.880000,19.000000,0.000000,5.000000,0.000000,1.000000,0.000000,0.000000,0.000000
74.510000,103.000000,5.290200,19.470000,15.000000,0.000000,9.000000,1.000000,0.000000,0.000000,0.000000,0.000000
72.860000,121.000000,5.173200,23.390000,23.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72.750000,117.000000,5.165600,22.650000,21.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72.430000,121.000000,5.142400,23.530000,23.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71.790000,121.000000,5.096900,23.740000,23.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71.400000,117.000000,5.069300,23.080000,21.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.940000,112.000000,5.037000,20.250000,20.000000,0.000000,4.000000,0.000000,1.000000,0.000000,0.000000,0.000000
70.800000,111.000000,5.027200,22.080000,19.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
70.090000,106.000000,4.976700,19.290000,17.000000,0.000000,7.000000,0.000000,1.000000,0.000000,0.000000,0.000000
69.770000,106.000000,4.953600,19.380000,17.000000,0.000000,7.000000,0.000000,1.000000,0.000000,0.000000,0.000000
69.640000,108.000000,4.944500,19.820000,18.000000,0.000000,6.000000,0.000000,1.000000,0.000000,0.000000,0.000000
69.560000,101.000000,4.939000,16.400000,16.000000,0.000000,7.000000,0.000000,2.000000,0.000000,0.000000,0.000000
69.290000,107.000000,4.919500,21.750000,17.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
69.020000,111.000000,4.900700,22.650000,19.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
68.990000,113.000000,4.898100,23.070000,20.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000
68.500000,108.000000,4.863500,20.150000,18.000000,0.000000,6.000000,0.000000,1.000000,0.000000,0.000000,0.000000
68.300000,100.000000,4.849100,18.560000,14.000000,0.000000,10.000000,0.000000,1.000000,0.000000,0.000000,0.000000
67.760000,93.000000,4.811200,19.330000,11.000000,0.000000,12.000000,2.000000,0.000000,0.000000,0.000000,0.000000
67.570000,103.000000,4.797400,21.470000,14.000000,0.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000
67.470000,114.000000,4.790400,21.710000,21.000000,0.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000
67.180000,117.000000,4.769700,24.530000,21.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66.830000,95.000000,4.745300,20.020000,13.000000,0.000000,9.000000,3.000000,0.000000,0.000000,0.000000,0.000000
66.400000,109.000000,4.714500,23.120000,17.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64.360000,111.000000,4.569800,24.290000,18.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64.340000,109.000000,4.568300,23.860000,18.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
64.340000,119.000000,4.568100,26.050000,22.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
63.990000,113.000000,4.543600,24.870000,19.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
63.830000,95.000000,4.532400,20.960000,12.000000,0.000000,11.000000,2.000000,0.000000,0.000000,0.000000,0.000000
63.560000,119.000000,4.512700,26.370000,22.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62.560000,109.000000,4.441700,24.540000,17.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62.330000,102.000000,4.425200,20.790000,16.000000,0.000000,7.000000,1.000000,1.000000,0.000000,0.000000,0.000000
61.920000,103.000000,4.396100,23.430000,15.000000,0.000000,9.000000,1.000000,0.000000,0.000000,0.000000,0.000000
61.580000,105.000000,4.372400,19.440000,18.000000,0.000000,5.000000,0.000000,2.000000,0.000000,0.000000,0.000000
61.530000,102.000000,4.368500,21.060000,16.000000,0.000000,7.000000,1.000000,1.000000,0.000000,0.000000,0.000000
61.400000,113.000000,4.359600,25.920000,19.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60.820000,109.000000,4.318500,25.240000,18.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
59.830000,109.000000,4.247900,25.660000,17.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
59.750000,105.000000,4.242400,24.750000,17.000000,0.000000,6.000000,2.000000,0.000000,0.000000,0.000000,0.000000
59.570000,95.000000,4.229700,22.460000,12.000000,0.000000,11.000000,2.000000,0.000000,0.000000,0.000000,0.000000
58.800000,105.000000,4.175000,25.150000,15.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
58.480000,105.000000,4.152100,22.880000,16.000000,0.000000,8.000000,1.000000,0.000000,0.000000,1.000000,0.000000
57.930000,110.000000,4.113500,24.310000,19.000000,0.000000,5.000000,0.000000,1.000000,0.000000,0.000000,0.000000
57.750000,113.000000,4.100100,27.560000,19.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
56.930000,106.000000,4.042100,23.750000,17.000000,0.000000,7.000000,0.000000,1.000000,0.000000,0.000000,0.000000
56.710000,103.000000,4.026600,25.580000,15.000000,0.000000,9.000000,1.000000,0.000000,0.000000,0.000000,0.000000
55.690000,113.000000,3.953800,28.580000,19.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
55.210000,98.000000,3.919800,22.450000,15.000000,0.000000,7.000000,2.000000,1.000000,0.000000,0.000000,0.000000
54.380000,108.000000,3.861300,25.380000,19.000000,0.000000,4.000000,1.000000,1.000000,0.000000,0.000000,0.000000
53.880000,102.000000,3.825400,24.050000,17.000000,0.000000,5.000000,2.000000,1.000000,0.000000,0.000000,0.000000
53.810000,95.000000,3.820700,19.630000,13.000000,0.000000,10.000000,0.000000,2.000000,0.000000,0.000000,0.000000
53.280000,99.000000,3.783000,26.170000,13.000000,0.000000,11.000000,1.000000,0.000000,0.000000,0.000000,0.000000
52.750000,117.000000,3.745200,31.240000,21.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
49.700000,109.000000,3.528700,30.890000,17.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
49.610000,113.000000,3.522400,32.080000,19.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
49.240000,113.000000,3.496300,29.460000,19.000000,0.000000,6.000000,0.000000,0.000000,0.000000,1.000000,0.000000
47.910000,103.000000,3.401600,30.280000,15.000000,0.000000,9.000000,1.000000,0.000000,0.000000,0.000000,0.000000
