%psbl,Points,HF,Time,A,B,C,D,M,NPM,NS,Proc
100.000000,73.000000,7.749500,9.420000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
97.960000,75.000000,7.591100,9.880000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95.730000,73.000000,7.418700,9.840000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.960000,73.000000,7.358900,9.920000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.080000,73.000000,7.213400,10.120000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.440000,75.000000,7.163300,10.470000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.080000,73.000000,7.135900,10.230000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91.720000,73.000000,7.108100,10.270000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.840000,73.000000,7.039500,10.370000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86.570000,75.000000,6.708400,11.180000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86.340000,73.000000,6.691100,10.910000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85.400000,73.000000,6.618300,11.030000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85.190000,75.000000,6.602100,11.360000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85.120000,75.000000,6.596300,11.370000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83.580000,75.000000,6.476700,11.580000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.700000,73.000000,6.409100,11.390000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.580000,71.000000,6.322400,11.230000,13.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.000000,73.000000,6.276900,11.630000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.730000,70.000000,6.256500,9.590000,14.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
80.320000,75.000000,6.224100,12.050000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.760000,73.000000,6.103700,11.960000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.170000,73.000000,6.058100,12.050000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
77.910000,73.000000,6.038000,12.090000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
77.300000,75.000000,5.990400,12.520000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.610000,75.000000,5.859400,12.800000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.220000,71.000000,5.829200,12.180000,13.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.950000,69.000000,5.808100,11.880000,12.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.620000,75.000000,5.782600,12.970000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.370000,71.000000,5.763000,12.320000,13.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.170000,73.000000,5.748000,12.700000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.710000,67.000000,5.711800,11.730000,12.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000
73.650000,75.000000,5.707800,13.140000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.490000,75.000000,5.694800,13.170000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.360000,73.000000,5.685400,12.840000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.160000,69.000000,5.669700,12.170000,13.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
73.100000,75.000000,5.664700,13.240000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72.620000,65.000000,5.627700,11.550000,11.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
71.850000,73.000000,5.568300,13.110000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71.800000,75.000000,5.563800,13.480000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71.200000,73.000000,5.517800,13.230000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.900000,75.000000,5.494500,13.650000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.850000,75.000000,5.490500,13.660000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.490000,75.000000,5.462500,13.730000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.400000,73.000000,5.455900,13.380000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
69.880000,75.000000,5.415200,13.850000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
69.680000,75.000000,5.399600,13.890000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
69.480000,75.000000,5.384100,13.930000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68.740000,75.000000,5.326700,14.080000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68.690000,75.000000,5.322900,14.090000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68.590000,75.000000,5.315400,14.110000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68.490000,69.000000,5.307700,13.000000,12.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
67.670000,73.000000,5.244300,13.920000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
67.000000,73.000000,5.192000,14.060000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66.150000,71.000000,5.126400,13.850000,13.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65.660000,75.000000,5.088200,14.740000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65.530000,75.000000,5.077900,14.770000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65.460000,73.000000,5.073000,14.390000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65.330000,73.000000,5.062400,14.420000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65.220000,75.000000,5.053900,14.840000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65.020000,71.000000,5.039000,14.090000,13.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65.010000,73.000000,5.038000,14.490000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64.950000,70.000000,5.033600,11.920000,14.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
63.300000,75.000000,4.905200,15.290000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
63.090000,73.000000,4.889500,14.930000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62.890000,75.000000,4.873300,15.390000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62.640000,75.000000,4.854400,15.450000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
61.250000,75.000000,4.746800,15.800000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60.310000,73.000000,4.673500,15.620000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60.190000,73.000000,4.664500,15.650000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
59.240000,69.000000,4.590800,15.030000,12.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
59.090000,75.000000,4.578800,16.380000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
58.810000,71.000000,4.557100,15.580000,13.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
58.620000,71.000000,4.542500,15.630000,13.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
57.410000,69.000000,4.448700,15.510000,12.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
56.860000,75.000000,4.406600,17.020000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
56.760000,71.000000,4.399000,16.140000,13.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
55.710000,73.000000,4.317000,16.910000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
55.480000,73.000000,4.299200,16.980000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
54.930000,73.000000,4.256600,17.150000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
54.290000,73.000000,4.207500,17.350000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
52.740000,75.000000,4.087200,18.350000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
52.600000,73.000000,4.075900,17.910000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
52.410000,69.000000,4.061200,16.990000,12.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
52.370000,75.000000,4.058400,18.480000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
51.990000,67.000000,4.028900,16.630000,12.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000
51.320000,69.000000,3.976900,17.350000,12.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
51.100000,75.000000,3.959900,18.940000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
49.820000,71.000000,3.860800,15.800000,13.000000,0.000000,2.000000,0.000000,0.000000,0.000000,1.000000,0.000000
45.940000,67.000000,3.560000,18.820000,11.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40.680000,75.000000,3.152600,23.790000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40.330000,73.000000,3.125000,23.360000,14.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
39.680000,68.000000,3.075000,15.610000,13.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000
37.890000,75.000000,2.936600,25.540000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35.460000,75.000000,2.748300,27.290000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
33.650000,70.000000,2.607600,23.010000,14.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
11.470000,75.000000,0.889200,84.350000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
100.000000,38.000000,7.156300,5.310000,7.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
87.480000,38.000000,6.260300,6.070000,7.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.860000,32.000000,5.786600,5.530000,4.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
79.180000,34.000000,5.666700,6.000000,6.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
76.800000,36.000000,5.496200,6.550000,6.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.460000,30.000000,5.328600,5.630000,4.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
71.550000,34.000000,5.120500,6.640000,6.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
68.270000,32.000000,4.885500,6.550000,5.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000
68.160000,36.000000,4.878000,7.380000,6.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
67.970000,34.000000,4.864100,6.990000,6.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
67.340000,36.000000,4.819300,7.470000,6.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
67.160000,36.000000,4.806400,7.490000,6.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66.100000,36.000000,4.730600,7.610000,6.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65.660000,32.000000,4.699000,6.810000,5.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000
65.530000,34.000000,4.689700,7.250000,5.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64.410000,33.000000,4.609200,4.990000,6.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
62.160000,35.000000,4.448400,5.620000,7.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
61.860000,34.000000,4.427100,7.680000,6.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
60.060000,34.000000,4.298400,7.910000,6.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
59.860000,32.000000,4.283800,7.470000,6.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000
