%psbl,Points,HF,Time,A,B,C,D,M,NPM,NS,Proc
100.000000,115.000000,6.428200,17.890000,20.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
99.330000,115.000000,6.385300,18.010000,20.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
98.550000,121.000000,6.335100,19.100000,23.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
97.760000,115.000000,6.284200,18.300000,21.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
96.350000,117.000000,6.193800,18.890000,21.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.710000,115.000000,6.087900,18.890000,20.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.580000,117.000000,6.015400,19.450000,21.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.670000,117.000000,5.957200,19.640000,21.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91.900000,123.000000,5.907800,20.820000,24.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91.670000,110.000000,5.892800,16.970000,19.000000,0.000000,5.000000,0.000000,1.000000,0.000000,0.000000,0.000000
90.220000,115.000000,5.799300,19.830000,20.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89.270000,103.000000,5.738200,17.950000,16.000000,0.000000,7.000000,2.000000,0.000000,0.000000,0.000000,0.000000
87.560000,107.000000,5.628600,19.010000,18.000000,0.000000,5.000000,2.000000,0.000000,0.000000,0.000000,0.000000
87.250000,111.000000,5.608900,19.790000,19.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
86.720000,115.000000,5.574400,20.630000,21.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
84.310000,115.000000,5.419400,21.220000,20.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
84.220000,119.000000,5.414000,21.980000,22.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83.940000,107.000000,5.395900,19.830000,17.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
83.410000,109.000000,5.361500,20.330000,18.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
82.530000,113.000000,5.305200,21.300000,19.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.820000,117.000000,5.195400,22.520000,21.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.740000,111.000000,5.061600,21.930000,19.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
77.100000,119.000000,4.956300,24.010000,23.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
77.080000,121.000000,4.955000,24.420000,23.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76.990000,112.000000,4.949100,20.610000,20.000000,0.000000,4.000000,0.000000,1.000000,0.000000,0.000000,0.000000
75.900000,119.000000,4.879000,24.390000,22.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.200000,112.000000,4.834100,21.100000,20.000000,0.000000,4.000000,0.000000,1.000000,0.000000,0.000000,0.000000
74.470000,109.000000,4.787000,22.770000,19.000000,0.000000,4.000000,2.000000,0.000000,0.000000,0.000000,0.000000
74.440000,107.000000,4.785300,22.360000,18.000000,0.000000,5.000000,2.000000,0.000000,0.000000,0.000000,0.000000
74.140000,121.000000,4.765700,25.390000,23.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.390000,111.000000,4.717400,23.530000,18.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72.930000,109.000000,4.688200,23.250000,18.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
72.840000,115.000000,4.682400,24.560000,21.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
71.720000,110.000000,4.610400,21.690000,19.000000,0.000000,5.000000,0.000000,1.000000,0.000000,0.000000,0.000000
71.640000,105.000000,4.605300,22.800000,17.000000,0.000000,6.000000,2.000000,0.000000,0.000000,0.000000,0.000000
70.870000,119.000000,4.555900,26.120000,22.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.500000,119.000000,4.531600,26.260000,22.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
