%psbl,Points,HF,Time,A,B,C,D,M,NPM,NS,Proc
100.000000,147.000000,7.732800,19.010000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.200000,147.000000,7.284400,20.180000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.990000,137.000000,7.267900,18.850000,24.000000,0.000000,5.000000,2.000000,0.000000,0.000000,0.000000,0.000000
93.090000,147.000000,7.198800,20.420000,28.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000
92.920000,145.000000,7.185300,20.180000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.650000,143.000000,7.009800,20.400000,25.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.040000,149.000000,6.962600,21.400000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89.730000,153.000000,6.938800,22.050000,30.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89.460000,147.000000,6.917600,21.250000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85.790000,147.000000,6.633600,22.160000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85.640000,149.000000,6.622200,22.500000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85.510000,139.000000,6.612700,21.020000,24.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
85.160000,151.000000,6.585300,22.930000,29.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83.900000,145.000000,6.487700,22.350000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83.450000,145.000000,6.453000,22.470000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.820000,147.000000,6.250000,23.520000,28.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000
80.550000,149.000000,6.229100,23.920000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.520000,147.000000,6.226200,23.610000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.180000,134.000000,6.200000,20.000000,24.000000,0.000000,4.000000,2.000000,1.000000,0.000000,0.000000,0.000000
79.210000,147.000000,6.125000,24.000000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.300000,149.000000,6.054400,24.610000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76.940000,141.000000,5.949400,23.700000,25.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
76.480000,143.000000,5.914000,24.180000,25.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76.410000,142.000000,5.908700,22.340000,27.000000,0.000000,2.000000,1.000000,1.000000,0.000000,0.000000,0.000000
76.330000,139.000000,5.902300,23.550000,25.000000,0.000000,4.000000,2.000000,0.000000,0.000000,0.000000,0.000000
76.040000,139.000000,5.879900,23.640000,23.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.780000,155.000000,5.860100,26.450000,31.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.710000,149.000000,5.854600,25.450000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.500000,149.000000,5.838600,25.520000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.020000,139.000000,5.801300,23.960000,25.000000,0.000000,4.000000,2.000000,0.000000,0.000000,0.000000,0.000000
74.750000,150.000000,5.780300,24.220000,30.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
74.530000,137.000000,5.763600,23.770000,23.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
74.400000,149.000000,5.752900,25.900000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.580000,141.000000,5.690100,24.780000,24.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.230000,135.000000,5.662800,23.840000,23.000000,0.000000,6.000000,2.000000,0.000000,0.000000,0.000000,0.000000
72.710000,136.000000,5.622500,22.410000,23.000000,0.000000,7.000000,0.000000,1.000000,0.000000,0.000000,0.000000
72.220000,151.000000,5.584300,27.040000,29.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71.580000,144.000000,5.534900,24.210000,28.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
71.570000,145.000000,5.534400,26.200000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71.240000,143.000000,5.508500,25.960000,25.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71.050000,145.000000,5.494500,26.390000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.140000,140.000000,5.423400,23.970000,26.000000,0.000000,3.000000,1.000000,1.000000,0.000000,0.000000,0.000000
69.570000,143.000000,5.380000,26.580000,26.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000
68.850000,143.000000,5.323900,26.860000,25.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68.090000,145.000000,5.265100,27.540000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68.060000,138.000000,5.263200,24.320000,25.000000,0.000000,4.000000,1.000000,1.000000,0.000000,0.000000,0.000000
67.780000,137.000000,5.241000,26.140000,24.000000,0.000000,5.000000,2.000000,0.000000,0.000000,0.000000,0.000000
67.670000,139.000000,5.233100,22.740000,26.000000,0.000000,3.000000,0.000000,2.000000,0.000000,0.000000,0.000000
67.040000,149.000000,5.184400,28.740000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66.550000,142.000000,5.146200,25.650000,26.000000,0.000000,4.000000,0.000000,1.000000,0.000000,0.000000,0.000000
66.320000,138.000000,5.128200,24.960000,25.000000,0.000000,4.000000,1.000000,1.000000,0.000000,0.000000,0.000000
66.000000,141.000000,5.103300,23.710000,27.000000,0.000000,2.000000,0.000000,2.000000,0.000000,0.000000,0.000000
65.930000,145.000000,5.098500,28.440000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65.660000,141.000000,5.077400,27.770000,24.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65.210000,143.000000,5.042300,28.360000,25.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65.110000,151.000000,5.035000,29.990000,29.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65.110000,145.000000,5.034700,28.800000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64.730000,143.000000,5.005300,28.570000,26.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000
64.470000,151.000000,4.985100,30.290000,29.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64.390000,145.000000,4.979400,29.120000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64.230000,133.000000,4.966400,26.780000,21.000000,0.000000,9.000000,1.000000,0.000000,0.000000,0.000000,0.000000
64.110000,138.000000,4.957400,25.820000,25.000000,0.000000,4.000000,1.000000,1.000000,0.000000,0.000000,0.000000
63.750000,143.000000,4.929300,29.010000,25.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
63.680000,147.000000,4.924600,29.850000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
63.180000,141.000000,4.885600,22.720000,27.000000,0.000000,2.000000,0.000000,2.000000,0.000000,0.000000,1.000000
63.150000,151.000000,4.883600,30.920000,29.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62.570000,146.000000,4.838100,28.110000,28.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000
62.480000,149.000000,4.831400,30.840000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62.040000,147.000000,4.797700,30.640000,28.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000
