%psbl,Points,HF,Time,A,B,C,D,M,NPM,NS,Proc
100.000000,113.000000,8.606200,13.130000,19.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
97.210000,107.000000,8.365900,12.790000,17.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
95.430000,119.000000,8.212600,14.490000,22.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91.690000,113.000000,7.891100,14.320000,19.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89.990000,113.000000,7.745000,14.590000,19.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89.030000,117.000000,7.662100,15.270000,21.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
88.520000,103.000000,7.618300,13.520000,15.000000,0.000000,9.000000,1.000000,0.000000,0.000000,0.000000,0.000000
87.170000,115.000000,7.501600,15.330000,21.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
87.000000,115.000000,7.487000,15.360000,20.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86.260000,115.000000,7.424100,15.490000,20.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86.100000,103.000000,7.410100,13.900000,14.000000,0.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85.270000,107.000000,7.338800,14.580000,17.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
84.690000,107.000000,7.288800,14.680000,17.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
83.530000,111.000000,7.189100,15.440000,18.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.420000,113.000000,7.093500,15.930000,19.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.530000,103.000000,7.016300,14.680000,15.000000,0.000000,9.000000,1.000000,0.000000,0.000000,0.000000,0.000000
80.980000,109.000000,6.969300,15.640000,17.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.790000,115.000000,6.952800,16.540000,20.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.590000,103.000000,6.936000,14.850000,15.000000,0.000000,9.000000,1.000000,0.000000,0.000000,0.000000,0.000000
80.260000,107.000000,6.907700,15.490000,17.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
78.990000,117.000000,6.798400,17.210000,21.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.630000,103.000000,6.767400,15.220000,14.000000,0.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.060000,113.000000,6.718200,16.820000,19.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
77.410000,112.000000,6.662300,15.310000,20.000000,0.000000,4.000000,0.000000,1.000000,0.000000,0.000000,0.000000
76.500000,111.000000,6.583600,16.860000,19.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
76.100000,115.000000,6.549000,17.560000,20.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.890000,109.000000,6.530900,16.690000,17.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.540000,97.000000,6.501300,14.920000,14.000000,0.000000,8.000000,3.000000,0.000000,0.000000,0.000000,0.000000
75.410000,103.000000,6.490200,15.870000,14.000000,0.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.180000,107.000000,6.384200,16.760000,16.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.080000,111.000000,6.375600,17.410000,18.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.590000,105.000000,6.332900,16.580000,16.000000,0.000000,8.000000,1.000000,0.000000,0.000000,0.000000,0.000000
73.240000,103.000000,6.303500,16.340000,15.000000,0.000000,9.000000,1.000000,0.000000,0.000000,0.000000,0.000000
