%psbl,Points,HF,Time,A,B,C,D,M,NPM,NS,Proc
100.000000,107.000000,8.057200,13.280000,19.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
98.970000,111.000000,7.974100,13.920000,22.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
94.000000,103.000000,7.573500,13.600000,17.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.510000,99.000000,7.534200,13.140000,15.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.060000,113.000000,7.498300,15.070000,22.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.290000,107.000000,7.435700,14.390000,19.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91.450000,105.000000,7.368400,14.250000,18.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91.040000,109.000000,7.335100,14.860000,20.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.150000,99.000000,7.263400,13.630000,17.000000,0.000000,4.000000,2.000000,0.000000,0.000000,0.000000,0.000000
88.350000,105.000000,7.118600,14.750000,18.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
88.350000,105.000000,7.118600,14.750000,19.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
88.100000,103.000000,7.098600,14.510000,18.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000
87.890000,115.000000,7.081300,16.240000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86.000000,109.000000,6.929400,15.730000,20.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
84.870000,101.000000,6.838200,14.770000,16.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
84.440000,103.000000,6.803200,15.140000,17.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83.490000,111.000000,6.727300,16.500000,21.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.300000,111.000000,6.630800,16.740000,21.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.080000,107.000000,6.613100,16.180000,19.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.810000,105.000000,6.591300,15.930000,18.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.770000,107.000000,6.588700,16.240000,19.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.040000,105.000000,6.529900,16.080000,18.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.480000,109.000000,6.484200,16.810000,20.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.840000,105.000000,6.352100,16.530000,18.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
77.480000,109.000000,6.242800,17.460000,20.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76.370000,103.000000,6.152900,16.740000,18.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000
75.580000,105.000000,6.089700,15.600000,18.000000,0.000000,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000
75.410000,107.000000,6.076100,17.610000,19.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.280000,109.000000,6.065700,17.970000,20.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.110000,103.000000,6.051700,17.020000,17.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.910000,109.000000,6.035400,18.060000,20.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.900000,107.000000,6.035000,17.730000,19.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.680000,97.000000,6.017400,16.120000,15.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
74.410000,109.000000,5.995600,18.180000,20.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.330000,109.000000,5.989000,18.200000,20.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.360000,99.000000,5.910400,16.750000,16.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
72.600000,105.000000,5.849800,16.240000,19.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,1.000000
72.460000,101.000000,5.838200,17.300000,16.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72.020000,99.000000,5.803000,17.060000,15.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71.550000,107.000000,5.765100,18.560000,20.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000
69.880000,94.000000,5.630000,14.920000,15.000000,0.000000,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000
69.110000,95.000000,5.568600,17.060000,14.000000,0.000000,8.000000,1.000000,0.000000,0.000000,0.000000,0.000000
68.840000,101.000000,5.546400,18.210000,16.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68.490000,103.000000,5.518600,15.040000,18.000000,0.000000,4.000000,1.000000,0.000000,0.000000,2.000000,0.000000
68.460000,103.000000,5.516000,16.860000,17.000000,0.000000,6.000000,0.000000,0.000000,0.000000,1.000000,0.000000
67.030000,101.000000,5.401100,18.700000,17.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
66.460000,106.000000,5.354900,16.060000,20.000000,0.000000,2.000000,0.000000,1.000000,0.000000,1.000000,0.000000
66.270000,103.000000,5.339600,19.290000,17.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65.490000,101.000000,5.276900,19.140000,16.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
