%psbl,MaxPoints,Points,HF,Time,A,B,C,D,M,NPM,NS,Proc
100.000000,155.000000,149.000000,8.647700,17.230000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.030000,155.000000,145.000000,8.304700,17.460000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95.540000,155.000000,145.000000,8.262100,17.550000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.900000,155.000000,151.000000,8.206500,18.400000,29.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.710000,155.000000,141.000000,8.103400,17.400000,25.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
93.440000,155.000000,149.000000,8.080300,18.440000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.940000,155.000000,147.000000,8.037200,18.290000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91.120000,155.000000,149.000000,7.879400,18.910000,29.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
90.780000,155.000000,141.000000,7.850800,17.960000,24.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.710000,155.000000,147.000000,7.844200,18.740000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.300000,155.000000,149.000000,7.809200,19.080000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89.770000,155.000000,135.000000,7.763100,17.390000,22.000000,0.000000,8.000000,1.000000,0.000000,0.000000,0.000000,0.000000
89.280000,155.000000,145.000000,7.721000,18.780000,27.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
88.610000,155.000000,141.000000,7.663000,18.400000,25.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
88.420000,155.000000,141.000000,7.646400,18.440000,24.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
88.320000,155.000000,139.000000,7.637400,18.200000,23.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
88.260000,155.000000,147.000000,7.632400,19.260000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
