%psbl,Points,HF,Time,A,B,C,D,M,NPM,NS,Proc
100.000000,84.000000,5.785100,14.520000,15.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
99.750000,82.000000,5.770600,14.210000,14.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
99.620000,88.000000,5.762900,15.270000,17.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
99.100000,88.000000,5.732900,15.350000,17.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
99.040000,86.000000,5.729500,15.010000,16.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.470000,86.000000,5.580800,15.410000,16.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.450000,90.000000,5.579700,16.130000,18.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.400000,88.000000,5.576700,15.780000,17.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.030000,86.000000,5.555600,15.480000,16.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95.510000,82.000000,5.525600,14.840000,15.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000
95.050000,86.000000,5.498700,15.640000,16.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.160000,84.000000,5.447500,15.420000,15.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.640000,76.000000,5.417000,14.030000,12.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
93.150000,88.000000,5.388900,16.330000,17.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.810000,88.000000,5.369100,16.390000,17.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.110000,86.000000,5.328400,16.140000,16.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.380000,88.000000,5.228800,16.830000,17.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89.800000,80.000000,5.194800,15.400000,14.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
89.270000,88.000000,5.164300,17.040000,17.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
88.590000,84.000000,5.125100,16.390000,15.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
88.190000,90.000000,5.102000,17.640000,18.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
87.500000,90.000000,5.061900,17.780000,18.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86.110000,82.000000,4.981800,16.460000,14.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
